"Location","pop_over_65","pop_total"
"United States","52784400","319249300"
"AL","834700","4767100"
"AK","91500","701700"
"AZ","1293600","7098000"
"AR","505700","2922500"
"CA","5739000","38642700"
"CO","831300","5611800"
"CT","610400","3453300"
"DE","185200","940300"
"DC","85300","671300"
"FL","4426900","20992000"
"GA","1493300","10294000"
"HI","265000","1343000"
"ID","283500","1750900"
"IL","1981300","12362300"
"IN","1046300","6511800"
"IA","531600","3060200"
"KS","460300","2811200"
"KY","732800","4319300"
"LA","721800","4498600"
"ME","277700","1302300"
"MD","938700","5875500"
"MA","1135900","6650800"
"MI","1728600","9765600"
"MN","891100","5514800"
"MS","474400","2867100"
"MO","1024300","5939900"
"MT","204100","1039400"
"NE","302600","1873600"
"NV","493000","3029700"
"NH","244100","1314000"
"NJ","1438400","8699400"
"NM","373600","2041400"
"NY","3200300","18908300"
"NC","1711300","10139700"
"ND","114000","731000"
"OH","1973700","11351500"
"OK","610700","3826900"
"OR","757100","4128900"
"PA","2311300","12377600"
"RI","180800","1017100"
"SC","918700","4984200"
"SD","148200","851300"
"TN","1108800","6640900"
"TX","3654400","28286200"
"UT","361200","3154100"
"VT","121800","598100"
"VA","1332800","8185100"
"WA","1187800","7423900"
"WV","357200","1739000"
"WI","991400","5677100"
"WY","96800","562700"
"PR","674300","3164500"