Date,Total_Deaths,Total_Rate_per_100k
May-14-2021,582263,175
May-13-2021,581573,175
May-12-2021,580837,175
May-11-2021,580075,175
May-10-2021,579398,175
May-9-2021,578986,174
May-8-2021,578706,174
May-7-2021,578056,174
May-6-2021,577254,174
May-5-2021,576483,174
May-4-2021,575756,173
May-3-2021,574943,173
May-2-2021,574499,173
May-1-2021,574078,173
Apr-30-2021,573310,173
Apr-29-2021,572493,172
Apr-28-2021,571628,172
Apr-27-2021,570771,172
Apr-26-2021,570147,172
Apr-25-2021,569687,172
Apr-24-2021,569379,172
Apr-23-2021,568612,171
Apr-22-2021,567757,171
Apr-21-2021,566924,171
Apr-20-2021,566050,170
Apr-19-2021,565256,170
Apr-18-2021,564806,170
Apr-17-2021,564429,170
Apr-16-2021,563714,170
Apr-15-2021,562795,170
Apr-14-2021,561885,169
Apr-13-2021,561043,169
Apr-12-2021,560285,169
Apr-11-2021,559719,169
Apr-10-2021,559377,168
Apr-9-2021,558583,168
Apr-8-2021,557647,168
Apr-7-2021,556694,168
Apr-6-2021,555920,167
Apr-5-2021,555204,167
Apr-4-2021,554869,167
Apr-3-2021,554464,167
Apr-2-2021,553742,167
Apr-1-2021,552957,167
Mar-31-2021,552137,166
Mar-30-2021,551217,166
Mar-29-2021,550453,166
Mar-28-2021,549827,166
Mar-27-2021,549311,165
Mar-26-2021,548532,165
Mar-25-2021,547359,165
Mar-24-2021,546119,164
Mar-23-2021,545026,164
Mar-22-2021,544294,164
Mar-21-2021,543335,164
Mar-20-2021,542884,164
Mar-19-2021,542168,163
Mar-18-2021,540806,163
Mar-17-2021,539459,162
Mar-16-2021,538453,162
Mar-15-2021,537512,162
Mar-14-2021,536776,162
Mar-13-2021,536184,162
Mar-12-2021,535238,161
Mar-11-2021,534012,161
Mar-10-2021,532686,160
Mar-9-2021,531335,160
Mar-8-2021,529965,160
Mar-7-2021,529036,159
Mar-6-2021,528157,159
Mar-5-2021,526676,159
Mar-4-2021,524673,158
Mar-3-2021,523117,158
Mar-2-2021,521500,157
Mar-1-2021,519619,157
Feb-28-2021,518306,156
Feb-27-2021,517407,156
Feb-26-2021,515712,155
Feb-25-2021,513835,155
Feb-24-2021,510862,154
Feb-23-2021,508754,153
Feb-22-2021,506808,153
Feb-21-2021,505165,152
Feb-20-2021,503861,152
Feb-19-2021,501835,151
Feb-18-2021,499415,150
Feb-17-2021,497011,150
Feb-16-2021,494424,149
Feb-15-2021,492918,148
Feb-14-2021,491653,148
Feb-13-2021,490314,148
Feb-12-2021,487142,147
Feb-11-2021,481978,145
Feb-10-2021,478788,144
Feb-9-2021,475620,143
Feb-8-2021,472944,142
Feb-7-2021,471349,142
Feb-6-2021,469807,142
Feb-5-2021,467118,141
Feb-4-2021,463769,140
Feb-3-2021,458935,138
Feb-2-2021,455607,137
Feb-1-2021,452431,136
Jan-31-2021,450519,136
Jan-30-2021,448503,135
Jan-29-2021,445669,134
Jan-28-2021,442385,133
Jan-27-2021,438828,132
Jan-26-2021,435123,131
Jan-25-2021,431520,130
Jan-24-2021,429281,129
Jan-23-2021,427132,129
Jan-22-2021,423940,128
Jan-21-2021,420154,127
Jan-20-2021,416223,125
Jan-19-2021,412028,124
Jan-18-2021,409627,123
Jan-17-2021,407597,123
Jan-16-2021,405461,122
Jan-15-2021,401962,121
Jan-14-2021,398398,120
Jan-13-2021,394612,119
Jan-12-2021,390588,118
Jan-11-2021,386526,116
Jan-10-2021,384203,116
Jan-9-2021,381851,115
Jan-8-2021,378410,114
Jan-7-2021,374785,113
Jan-6-2021,370656,112
Jan-5-2021,366865,111
Jan-4-2021,363144,109
Jan-3-2021,361006,109
Jan-2-2021,359251,108
Jan-1-2021,356654,107
Dec-31-2020,354068,107
Dec-30-2020,350773,106
Dec-29-2020,347028,105
Dec-28-2020,343461,103
Dec-27-2020,341440,103
Dec-26-2020,339727,102
Dec-25-2020,338116,102
Dec-24-2020,336348,101
Dec-23-2020,333519,100
Dec-22-2020,330156,99
Dec-21-2020,326895,98
Dec-20-2020,324947,98
Dec-19-2020,323130,97
Dec-18-2020,320520,97
Dec-17-2020,317757,96
Dec-16-2020,314301,95
Dec-15-2020,310870,94
Dec-14-2020,307884,93
Dec-13-2020,305964,92
Dec-12-2020,304301,92
Dec-11-2020,301899,91
Dec-10-2020,298858,90
Dec-9-2020,296009,89
Dec-8-2020,292801,88
Dec-7-2020,290119,87
Dec-6-2020,288275,87
Dec-5-2020,286948,86
Dec-4-2020,284600,86
Dec-3-2020,282147,85
Dec-2-2020,279286,84
Dec-1-2020,276541,83
Nov-30-2020,273985,83
Nov-29-2020,272478,82
Nov-28-2020,271461,82
Nov-27-2020,270060,81
Nov-26-2020,268528,81
Nov-25-2020,267077,80
Nov-24-2020,264808,80
Nov-23-2020,262705,79
Nov-22-2020,261441,79
Nov-21-2020,260365,78
Nov-20-2020,258883,78
Nov-19-2020,256963,77
Nov-18-2020,255007,77
Nov-17-2020,253207,76
Nov-16-2020,251575,76
Nov-15-2020,250623,75
Nov-14-2020,249818,75
Nov-13-2020,248482,75
Nov-12-2020,247161,74
Nov-11-2020,245449,74
Nov-10-2020,244441,74
Nov-9-2020,242554,73
Nov-8-2020,241679,73
Nov-7-2020,241054,73
Nov-6-2020,239958,72
Nov-5-2020,238734,72
Nov-4-2020,237566,72
Nov-3-2020,236385,71
Nov-2-2020,235240,71
Nov-1-2020,234572,71
Oct-31-2020,234053,70
Oct-30-2020,233219,70
Oct-29-2020,232175,70
Oct-28-2020,231072,70
Oct-27-2020,230008,69
Oct-26-2020,229064,69
Oct-25-2020,228444,69
Oct-24-2020,227999,69
Oct-23-2020,227108,68
Oct-22-2020,226144,68
Oct-21-2020,225148,68
Oct-20-2020,224096,67
Oct-19-2020,223242,67
Oct-18-2020,222605,67
Oct-17-2020,222028,67
Oct-16-2020,221394,67
Oct-15-2020,220415,66
Oct-14-2020,219554,66
Oct-13-2020,218756,66
Oct-12-2020,217985,66
Oct-11-2020,217528,66
Oct-10-2020,216941,65
Oct-9-2020,216355,65
Oct-8-2020,215448,65
Oct-7-2020,214525,65
Oct-6-2020,213710,64
Oct-5-2020,213060,64
Oct-4-2020,212576,64
Oct-3-2020,212116,64
Oct-2-2020,211448,64
Oct-1-2020,210612,63
Sep-30-2020,209771,63
Sep-29-2020,208983,63
Sep-28-2020,208076,63
Sep-27-2020,207721,63
Sep-26-2020,207388,62
Sep-25-2020,206612,62
Sep-24-2020,205790,62
Sep-23-2020,204932,62
Sep-22-2020,203847,61
Sep-21-2020,203080,61
Sep-20-2020,202570,61
Sep-19-2020,202223,61
Sep-18-2020,201621,61
Sep-17-2020,200749,60
Sep-16-2020,199953,60
Sep-15-2020,198766,60
Sep-14-2020,197884,60
Sep-13-2020,197435,59
Sep-12-2020,196885,59
Sep-11-2020,196150,59
Sep-10-2020,195238,59
Sep-9-2020,194236,59
Sep-8-2020,193161,58
Sep-7-2020,192673,58
Sep-6-2020,192364,58
Sep-5-2020,191853,58
Sep-4-2020,191061,58
Sep-3-2020,190147,57
Sep-2-2020,189163,57
Sep-1-2020,188290,57
Aug-31-2020,187267,56
Aug-30-2020,186752,56
Aug-29-2020,186270,56
Aug-28-2020,185350,56
Aug-27-2020,184441,56
Aug-26-2020,183449,55
Aug-25-2020,182416,55
Aug-24-2020,181358,55
Aug-23-2020,180803,54
Aug-22-2020,180148,54
Aug-21-2020,179250,54
Aug-20-2020,178253,54
Aug-19-2020,177272,53
Aug-18-2020,176037,53
Aug-17-2020,174907,53
Aug-16-2020,174321,53
Aug-15-2020,173517,52
Aug-14-2020,172536,52
Aug-13-2020,171410,52
Aug-12-2020,170261,51
Aug-11-2020,168948,51
Aug-10-2020,167738,51
Aug-9-2020,166956,50
Aug-8-2020,166292,50
Aug-7-2020,165260,50
Aug-6-2020,163985,49
Aug-5-2020,162805,49
Aug-4-2020,161522,49
Aug-3-2020,160451,48
Aug-2-2020,159647,48
Aug-1-2020,158947,48
Jul-31-2020,157822,48
Jul-30-2020,156518,47
Jul-29-2020,155100,47
Jul-28-2020,153820,46
Jul-27-2020,152558,46
Jul-26-2020,151764,46
Jul-25-2020,151052,45
Jul-24-2020,150008,45
Jul-23-2020,148795,45
Jul-22-2020,147560,44
Jul-21-2020,146423,44
Jul-20-2020,145233,44
Jul-19-2020,144487,44
Jul-18-2020,143721,43
Jul-17-2020,142778,43
Jul-16-2020,141770,43
Jul-15-2020,140724,42
Jul-14-2020,139635,42
Jul-13-2020,138640,42
Jul-12-2020,138034,42
Jul-11-2020,137343,41
Jul-10-2020,136504,41
Jul-9-2020,135593,41
Jul-8-2020,134715,41
Jul-7-2020,133657,40
Jul-6-2020,132637,40
Jul-5-2020,132107,40
Jul-4-2020,131726,40
Jul-3-2020,131292,40
Jul-2-2020,130518,39
Jul-1-2020,129818,39
Jun-30-2020,129058,39
Jun-29-2020,128348,39
Jun-28-2020,127902,39
Jun-27-2020,126938,38
Jun-26-2020,126378,38
Jun-25-2020,125721,38
Jun-24-2020,123168,37
Jun-23-2020,122462,37
Jun-22-2020,121638,37
Jun-21-2020,121199,37
Jun-20-2020,120833,36
Jun-19-2020,120236,36
Jun-18-2020,119529,36
Jun-17-2020,118810,36
Jun-16-2020,118091,36
Jun-15-2020,117342,35
Jun-14-2020,116823,35
Jun-13-2020,116416,35
Jun-12-2020,115742,35
Jun-11-2020,115046,35
Jun-10-2020,114114,34
Jun-9-2020,113281,34
Jun-8-2020,112357,34
Jun-7-2020,111561,34
Jun-6-2020,111045,33
Jun-5-2020,110339,33
Jun-4-2020,109229,33
Jun-3-2020,108329,33
Jun-2-2020,107379,32
Jun-1-2020,106319,32
May-31-2020,105710,32
May-30-2020,105046,32
May-29-2020,104116,31
May-28-2020,103061,31
May-27-2020,101844,31
May-26-2020,100456,30
May-25-2020,99654,30
May-24-2020,99015,30
May-23-2020,98372,30
May-22-2020,97341,29
May-21-2020,95509,29
May-20-2020,94425,28
May-19-2020,93077,28
May-18-2020,91753,28
May-17-2020,90770,27
May-16-2020,90073,27
May-15-2020,88674,27
May-14-2020,87186,26
May-13-2020,85390,26
May-12-2020,83745,25
May-11-2020,82217,25
May-10-2020,81138,24
May-9-2020,80155,24
May-8-2020,78528,24
May-7-2020,76903,23
May-6-2020,74623,22
May-5-2020,72313,22
May-4-2020,69856,21
May-3-2020,68880,21
May-2-2020,67150,20
May-1-2020,65655,20
Apr-30-2020,63714,19
Apr-29-2020,61444,19
Apr-28-2020,58970,18
Apr-27-2020,56715,17
Apr-26-2020,55292,17
Apr-25-2020,53816,16
Apr-24-2020,51799,16
Apr-23-2020,50147,15
Apr-22-2020,47651,14
Apr-21-2020,45880,14
Apr-20-2020,43058,13
Apr-19-2020,40253,12
Apr-18-2020,38373,12
Apr-17-2020,36576,11
Apr-16-2020,34122,10
Apr-15-2020,32106,10
Apr-14-2020,25592,8
Apr-13-2020,23236,7
Apr-12-2020,22638,7
Apr-11-2020,21256,6
Apr-10-2020,19281,6
Apr-9-2020,17635,5
Apr-8-2020,15283,5
Apr-7-2020,13322,4
Apr-6-2020,12646,4
Apr-5-2020,9402,3
Apr-4-2020,8036,2
Apr-3-2020,6876,2
Apr-2-2020,5804,2
Apr-1-2020,4833,1
Mar-31-2020,3917,1
Mar-30-2020,3163,1
Mar-29-2020,2650,1
Mar-28-2020,2317,1
Mar-27-2020,1858,1
Mar-26-2020,1407,0
Mar-25-2020,1140,0
Mar-24-2020,865,0
Mar-23-2020,659,0
Mar-22-2020,507,0
Mar-21-2020,424,0
Mar-20-2020,341,0
Mar-19-2020,271,0
Mar-18-2020,214,0
Mar-17-2020,147,0
Mar-16-2020,116,0
Mar-15-2020,98,0
Mar-14-2020,75,0
Mar-13-2020,63,0
Mar-12-2020,55,0
Mar-11-2020,48,0
Mar-10-2020,36,0
Mar-9-2020,31,0
Mar-8-2020,24,0
Mar-7-2020,20,0
Mar-6-2020,15,0
Mar-5-2020,13,0
Mar-4-2020,11,0
Mar-3-2020,10,0
Mar-2-2020,7,0
Mar-1-2020,2,0
Feb-29-2020,2,0
Feb-28-2020,1,0
Feb-27-2020,1,0
Feb-26-2020,0,0
Feb-25-2020,0,0
Feb-24-2020,0,0
Feb-23-2020,0,0
Feb-22-2020,0,0
Feb-21-2020,0,0
Feb-20-2020,0,0
Feb-19-2020,0,0
Feb-18-2020,0,0
Feb-17-2020,0,0
Feb-16-2020,0,0
Feb-15-2020,0,0
Feb-14-2020,0,0
Feb-13-2020,0,0
Feb-12-2020,0,0
Feb-11-2020,0,0
Feb-10-2020,0,0
Feb-9-2020,0,0
Feb-8-2020,0,0
Feb-7-2020,0,0
Feb-6-2020,0,0
Feb-5-2020,0,0
Feb-4-2020,0,0
Feb-3-2020,0,0
Feb-2-2020,0,0
Feb-1-2020,0,0
Jan-31-2020,0,0
Jan-30-2020,0,0
Jan-29-2020,0,0
Jan-28-2020,0,0
Jan-27-2020,0,0
Jan-26-2020,0,0
Jan-25-2020,0,0
Jan-24-2020,0,0
Jan-23-2020,0,0
Jan-22-2020,0,0
